"IDU_ID","ZONE","THICKNESS","POROSITY","FIELDCAP","WILTINGPT"
1,1,300,58.777,34.374,16.64
1,2,300,56.402,33.33,16.57
1,3,300,57.834,33.52,16.767
1,4,300,60.454,33.395,16.905
2,1,300,54.788,40.599,15.974
2,2,300,54.285,38.845,16.061
2,3,300,51.509,38.768,16.139
2,4,300,49.883,38.471,16.144
3,1,300,60.306,34.288,18.207
3,2,300,55.869,34.213,18.898
3,3,300,56.822,33.933,19.354
3,4,300,59.703,33.59,19.643
4,1,300,61.94,29.246,13.814
4,2,300,59.51,27.435,14.042
4,3,300,58.766,28.626,14.798
4,4,300,61.307,28.905,15.047
5,1,300,60.938,31.953,14.037
5,2,300,56.222,31.274,13.951
5,3,300,57.016,31.156,14.141
5,4,300,60.046,30.985,14.223
