Crop Name,LULC Name,LULC_B,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,110%,120%,130%,140%,150%,160%,170%,180%,190%,200%,Planting Date Method,Planting Threshold,T30 Baseline [days],Earliest Planting Date,GDD Equation,GDD Base Temp [C],Term Date Method,CGDD P to T,Killing Frost Temp [C],useGDD,CGDD P/GU to EFC,GDD per 10% P to EFC,Interp Method EFC to T (1-CGDD; 2-constant),GDD per 10% EFC to T,Min Growing Season [days],Depletion Fraction,Kc value EFC to T if constant,Planting or Greenup Percentile,EFC Percentile,T Percentile
Alfalfa Mean,Hay,81,0.15,0.2,0.4,0.58,0.69,0.79,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2,240,0,61,1,0,2,0,-7,1,700,117,2,0,45,0.6,0.85,0,60,200
Avg of ONYN;PEAS;POTA;PPMT;SBRY;TBER),Other Crops,82,0.15,0.2,0.4,0.58,0.69,0.79,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2,240,0,61,1,0,2,0,-7,1,700,117,2,0,45,0.6,0.85,0,60,200
shrub/scrub,shrub/scrub,52,0.15,0.3,0.35,0.35,0.35,0.33,0.31,0.3,0.3,0.28,0.15,0,0,0,0,0,0,0,0,0,0,1,5,10,61,1,0,4,0,-273,0,0,0,0,0,0,-1,0,0,0,0
grassland/herbaceous,grassland/herbaceous,71,0.05,0.3,0.575,0.675,0.675,0.625,0.575,0.425,0.25,0.125,0.05,0,0,0,0,0,0,0,0,0,0,1,5,10,61,1,0,4,0,-273,0,0,0,0,0,0,-1,0,0,0,0
deciduous forest,deciduous forest,41,0.15,0.24,0.32,0.41,0.49,0.58,0.66,0.75,0.83,0.92,1,1,1,1,1,1,1,1,1,1,1,1,8,0,-1,1,0,2,1100,-5,0,195,20,0,91,0,-1,0,0,100,200
evergreen forest,evergreen forest,42,0.45,0.72,0.96,1.23,1.47,1.74,1.98,2.25,2.49,2.76,3,3,3,3,3,3,3,3,3,3,3,1,3,0,61,1,0,2,0,-6,0,0,0,0,0,0,-1,0,0,100,200
mixed forest,mixed forest,43,0.3,0.48,0.64,0.82,0.98,1.16,1.32,1.5,1.66,1.84,2,2,2,2,2,2,2,2,2,2,2,1,3,0,-1,1,0,2,0,-6,0,0,0,0,0,0,-1,0,0,100,200
woody wetlands,woody wetlands,90,0.175,0.265,0.465,0.59,0.71,0.97,1.055,1.12,1.175,1.175,1.175,1.175,1.175,1.175,1.175,1.175,1.175,1.115,1.1,1.1,1.1,1,8,8,-1,1,0,2,0,-3,0,0,0,0,0,0,-1,0,0,0,0
Emergent Herbaceous Wetlands,Emergent Herbaceous Wetlands,95,0.175,0.265,0.465,0.59,0.71,0.97,1.055,1.12,1.175,1.175,1.175,1.175,1.175,1.175,1.175,1.175,1.175,1.115,1.1,1.1,1.1,1,8,8,-1,1,0,2,0,-3,0,0,0,0,0,0,-1,0,0,0,0
Open Water,Open Water,11,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,1,-6,0,-1,1,0,2,0,-10,0,0,0,0,0,0,-1,0,0,0,0
Developed Open Space,Open Space,21,0.67,0.58,0.49,0.38,0.29,0.21,0.13,0.13,0.16,0.3,0.41,0.61,0,0,0,0,0,0,0,0,0,1,-6,0,-1,1,0,2,0,-10,0,0,0,0,0,0,-1,0,0,0,0
Low Intensity,Low Intensity,22,0.0315,0.042,0.0987,0.1218,0.1449,0.1575,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,1,5,0,-1,1,0,2,0,-5,0,0,0,0,0,0,-1,0,0,0,0
Medium Intensity,Medium Intensity,23,0.0315,0.042,0.0987,0.1218,0.1449,0.1575,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,1,5,0,-1,1,0,2,0,-5,0,0,0,0,0,0,-1,0,0,0,0
High Intensity,High Intensity,24,0.67,0.58,0.49,0.38,0.29,0.21,0.13,0.13,0.16,0.3,0.41,0.61,0,0,0,0,0,0,0,0,0,1,-6,0,-1,1,0,2,0,-10,0,0,0,0,0,0,-1,0,0,0,0
Bare Land,Barren,31,0.67,0.58,0.49,0.38,0.29,0.21,0.13,0.13,0.16,0.3,0.41,0.61,0,0,0,0,0,0,0,0,0,1,-6,0,-1,1,0,2,0,-10,0,0,0,0,0,0,-1,0,0,0,0
